FILENAME,IDENTITY
(d) Dichloro Isopreterenol.png,(d) dichloro isopreterenol
(g) Amoxycilin.png,(g) amoxycilin
Acetyl dihydrocodinon.png,acetyl dihydrocodinon
Aminopterin.png,aminopterin
Amitriptyline.png,amitriptyline
Arsenic and It’s compound.png,arsenic and it's compound
Benoctizine.png,benoctizine
Benzitramide.png,benzitramide
Bitaprodine.png,bitaprodine
Cantharidine.png,cantharidine
Chlophazimine.png,chlophazimine
Chloropropamide.png,chloropropamide
Cloral Butane.png,cloral butane
Cocaine.png,cocaine
Codeine.png,codeine
Codeine–N–oxide.png,codeine-n-oxide
Dextran 40.png,dextran 40
Diphenyl Pyraline Hydrochloride.png,diphenyl pyraline hydrochloride
Disulphiram.png,disulphiram
Dymethyl triptamin.png,dymethyl triptamin
Endomethacin.png,endomethacin
Ergot Alcolide and Its Derivatives.png,ergot alcolide and its derivatives
Ethyl morphine.png,ethyl morphine
Gramicidine.png,gramicidine
Haloperidol.png,haloperidol
Isosorbide Dinitrate or sorbide Nitrate.png,isosorbide dinitrate or sorbide nitrate
Levo metharphan.png,levo metharphan
Phytomenadione.png,phytomenadione
Promethazine Hydrochloride-1.png,promethazine hydrochloride
Promethazine Hydrochloride-2.png,promethazine hydrochloride
Promethazine Hydrochloride-3.png,promethazine hydrochloride
Promethazine Hydrochloride-5.png,promethazine hydrochloride
Proparidine-1.png,proparidine
Proparidine-2.png,proparidine
Proparidine-3.png,proparidine
Proparidine-4.png,proparidine
Proparidine-5.png,proparidine
Prophen Pyridomine-2.png,prophen pyridomine
Prophen Pyridomine-3.png,prophen pyridomine
Prophen Pyridomine-5.png,prophen pyridomine
Propoxyphine-1.png,propoxyphine
Propoxyphine-3.png,propoxyphine
Propoxyphine-4.png,propoxyphine
Protamine Sulphate-1.png,protamine sulphate
Protamine Sulphate-2.png,protamine sulphate
Protamine Sulphate-3.png,protamine sulphate
Protamine Sulphate-4.png,protamine sulphate
Protamine Sulphate-5.png,protamine sulphate
Provazine-1.png,provazine
Provazine-2.png,provazine
Provazine-3.png,provazine
Pyridostigmine-1.png,pyridostigmine
Pyridostigmine-2.png,pyridostigmine
Pyridostigmine-4.png,pyridostigmine
Pyridostigmine-5.png,pyridostigmine
Pyrivinium-1.png,pyrivinium
Pyrivinium-2.png,pyrivinium
Pyrivinium-3.png,pyrivinium
Pyrivinium-4.png,pyrivinium
Pyrivinium-5.png,pyrivinium
Pyrizinamide-1.png,pyrizinamide
Pyrizinamide-2.png,pyrizinamide
Pyrizinamide-3.png,pyrizinamide
Pyrizinamide-4.png,pyrizinamide
Quinidine-1.png,quinidine
Quinidine-2.png,quinidine
Quinidine-3.png,quinidine
Quinidine-5.png,quinidine
Raolphia Alcolides-2.png,raolphia alcolides
Raolphia Alcolides-3.png,raolphia alcolides
Raolphia Alcolides-5.png,raolphia alcolides
Recimeatharphan-2.png,recimeatharphan
Recimeatharphan-3.png,recimeatharphan
Recimeatharphan-5.png,recimeatharphan
Recimoramide-1.png,recimoramide
Recimoramide-2.png,recimoramide
Recimoramide-3.png,recimoramide
Recimoramide-4.png,recimoramide
Recimoramide-5.png,recimoramide
Recimorphan-1.png,recimorphan
Recimorphan-2.png,recimorphan
Recimorphan-3.png,recimorphan
Recimorphan-4.png,recimorphan
Rifampin-1.png,rifampin
Rifampin-3.png,rifampin
Rifampin-4.png,rifampin
Sabidila Alcolide-1.png,sabidila alcolide
Sabidila Alcolide-2.png,sabidila alcolide
Sabidila Alcolide-3.png,sabidila alcolide
Sabidila Alcolide-4.png,sabidila alcolide
Sabidila Alcolide-5.png,sabidila alcolide
Sera-1.png,sera
Sera-2.png,sera
Sera-3.png,sera
Sera-4.png,sera
Serum Protein-1.png,serum protein
Serum Protein-2.png,serum protein
Serum Protein-4.png,serum protein
Serum Protein.png,serum protein
Sodium Amidotrizoate-2.png,sodium amidotrizoate
Sodium Amidotrizoate-4.png,sodium amidotrizoate
Sodium Amidotrizoate-5.png,sodium amidotrizoate
Spironolactone-2.png,spironolactone
Spironolactone-3.png,spironolactone
Spyromycin-2.png,spyromycin
Spyromycin-3.png,spyromycin
Spyromycin-4.png,spyromycin
Spyromycin-5.png,spyromycin
Stilbocaptate-2.png,stilbocaptate
Stilbocaptate-3.png,stilbocaptate
Stilbocaptate-4.png,stilbocaptate
Stilbocaptate-5.png,stilbocaptate
Stilboglucogate-1.png,stilboglucogate
Stilboglucogate-2.png,stilboglucogate
Stilboglucogate-3.png,stilboglucogate
Stilboglucogate-4.png,stilboglucogate
Stilboglucogate-5.png,stilboglucogate
Streptomycin-1.png,streptomycin
Streptomycin-2.png,streptomycin
Streptomycin-3.png,streptomycin
Sulfadoxine-1.png,sulfadoxine
Sulfadoxine-3.png,sulfadoxine
Sulfadoxine-4.png,sulfadoxine
Sulfadoxine-5.png,sulfadoxine
Sulfameopyrazin-1.png,sulfameopyrazin
Sulfameopyrazin-2.png,sulfameopyrazin
Sulfameopyrazin-3.png,sulfameopyrazin
Sulfameopyrazin-4.png,sulfameopyrazin
Sulfameopyrazin-5.png,sulfameopyrazin
Sulfamethoxazole-2.png,sulfamethoxazole
Sulfamethoxazole-3.png,sulfamethoxazole
Sulfamethoxazole-4.png,sulfamethoxazole
Sulfamethoxazole-5.png,sulfamethoxazole
Sulfamethoxine-1.png,sulfamethoxine
Sulfamethoxine-2.png,sulfamethoxine
Sulfamethoxine-3.png,sulfamethoxine
Sulfamethoxy Pyridizine-1.png,sulfamethoxy pyridizine
Sulfamethoxy Pyridizine-2.png,sulfamethoxy pyridizine
Sulfamethoxy Pyridizine-3.png,sulfamethoxy pyridizine
Sulfamethoxy Pyridizine-4.png,sulfamethoxy pyridizine
Sulfamethoxy Pyridizine-5.png,sulfamethoxy pyridizine
Sulfasalazine-2.png,sulfasalazine
Sulfasalazine-3.png,sulfasalazine
Sulfasalazine-4.png,sulfasalazine
Sulfasalazine-5.png,sulfasalazine
Sulfasomizole-1.png,sulfasomizole
Sulfasomizole-2.png,sulfasomizole
Sulfasomizole-3.png,sulfasomizole
Sulfasomizole-4.png,sulfasomizole
Sulfasomizole-5.png,sulfasomizole
Sulfaurazole-2.png,sulfaurazole
Sulfaurazole-4.png,sulfaurazole
Sulfaurazole-5.png,sulfaurazole
Sulphone Methene-2.png,sulphone methene
Sulphone Methene-3.png,sulphone methene
Sulphone Methene-4.png,sulphone methene
Sulphone Methene-5.png,sulphone methene
Sulphone diethyl Methene-1.png,sulphone diethyl methene
Sulphone diethyl Methene-2.png,sulphone diethyl methene
Sulphone diethyl Methene-3.png,sulphone diethyl methene
Sulphone diethyl Methene-4.png,sulphone diethyl methene
